,dir,idx,psnr,ssim,time,score
222,0142_007_N6_00100_00100_4400_N,0,49.01894,0.99306,3.56min,70.02317333333335
223,0142_007_N6_00100_00100_4400_N,1,48.93664,0.993,3.57min,69.79770666666666
224,0144_007_N6_01600_01600_4400_N,0,42.55808,0.97182,3.62min,50.67021333333332
225,0144_007_N6_01600_01600_4400_N,1,43.52263,0.97176,3.57min,53.236346666666655
226,0145_007_N6_03200_03200_4400_N,0,40.51434,0.94681,3.57min,42.71923999999999
227,0145_007_N6_03200_03200_4400_N,1,40.87321,0.94874,3.57min,43.86922666666667
228,0146_007_N6_00400_00400_4400_N,0,44.96314,0.98262,3.57min,58.163706666666684
229,0146_007_N6_00400_00400_4400_N,1,44.59651,0.98339,3.56min,57.263026666666676
230,0147_007_G4_00100_00100_4400_L,0,59.46649,0.99879,4.32min,98.45630666666668
231,0147_007_G4_00100_00100_4400_L,1,59.29027,0.99878,4.32min,97.98538666666666
232,0149_007_G4_00800_00800_4400_L,0,53.59207,0.99096,4.32min,82.00818666666666
233,0149_007_G4_00800_00800_4400_L,1,53.42238,0.99092,4.33min,81.55167999999998
234,0150_007_S6_00100_00100_5500_L,0,56.48424,0.99843,4.36min,90.46764
235,0150_007_S6_00100_00100_5500_L,1,56.1632,0.99842,4.36min,89.61053333333334
236,0151_007_S6_00800_00800_5500_L,0,51.64705,0.99254,4.36min,76.97946666666667
237,0151_007_S6_00800_00800_5500_L,1,51.58713,0.99243,4.36min,76.80868000000001
238,0152_007_S6_01600_01600_5500_L,0,48.43729,0.98683,4.36min,67.84910666666666
239,0152_007_S6_01600_01600_5500_L,1,48.48496,0.98698,4.35min,67.99122666666666
240,0154_007_S6_00400_00400_5500_L,0,52.97485,0.99471,4.36min,80.73726666666667
241,0154_007_S6_00400_00400_5500_L,1,53.08446,0.99473,4.36min,81.03155999999998
242,0155_007_GP_00100_00100_5500_N,0,50.53998,0.99416,3.36min,74.18928
243,0155_007_GP_00100_00100_5500_N,1,50.41511,0.9941,3.36min,73.85029333333333
244,0156_007_GP_00800_00800_5500_N,0,47.27335,0.98904,3.36min,64.96626666666667
245,0156_007_GP_00800_00800_5500_N,1,47.68463,0.98909,3.36min,66.06801333333333
246,0157_007_GP_01600_01600_5500_N,0,44.98812,0.98575,3.37min,58.54332
247,0157_007_GP_01600_01600_5500_N,1,44.94998,0.98572,3.36min,58.438613333333336
248,0159_007_IP_00100_00100_3200_L,0,56.65671,0.9978,3.31min,90.86456
249,0159_007_IP_00100_00100_3200_L,1,56.62515,0.99779,3.31min,90.77939999999998
